Game Results:

TOKEN	TAG	GUESS
QUERIES
-------------
WELLINGTON	LOC	LOC	3
1996-08-22	O	O	0
Power	ORG	O	2
New	ORG	LOC	2
Zealand	ORG	LOC	2
said	O	O	0
on	O	O	0
Thursday	O	O	1
that	O	O	0
the	O	O	2
Optimised	O	O	4
Deprival	O	O	4
Value	O	O	4
(	O	O	0
ODV	O	O	2
)	O	O	0
of	O	O	1
its	O	O	0
network	O	O	0
at	O	O	0
March	O	O	2
31	O	O	0
,	O	O	0
1996	O	O	0
has	O	O	0
been	O	O	0
set	O	O	0
at	O	O	0
$	O	O	0
524.2	O	O	0
million	O	O	0
,	O	O	0
an	O	O	0
increase	O	O	0
of	O	O	1
eight	O	O	0
percent	O	O	0
on	O	O	0
its	O	O	0
$	O	O	0
486.5	O	O	0
million	O	O	0
valuation	O	O	1
a	O	O	0
year	O	O	0
earlier	O	O	0
.	O	O	0

Game History:

-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.009,LOC=0.923,ORG=0.016,O=0.052]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.056,LOC=0.023,ORG=0.011,O=0.910]	ORG	O
New	[PER=0.035,LOC=0.924,ORG=0.031,O=0.010]	ORG	LOC
Zealand	[PER=0.027,LOC=0.943,ORG=0.023,O=0.007]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.002,LOC=0.002,ORG=0.002,O=0.994]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.017,O=0.983]	O	O
Optimised	[PER=0.077,LOC=0.044,ORG=0.767,O=0.112]	O	ORG
Deprival	[PER=0.116,LOC=0.042,ORG=0.791,O=0.051]	O	ORG
Value	[PER=0.096,LOC=0.046,ORG=0.730,O=0.127]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.002,O=0.997]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.941]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
